FTSE Developed World UCITS ETF - (USD) Distributing (VDEV)
As of 31 August 2020
Holding name,% of funds,Market value,Shares
DSV Panalpina A/S,"=""0.06408%""","$467,748","2,985.00"
Agilent Technologies Inc.,"=""0.06380%""","$465,748","4,638.00"
MSCI Inc. Class A,"=""0.06336%""","$462,482","1,239.00"
Cummins Inc.,"=""0.06289%""","$459,059","2,215.00"
Cadence Design Systems Inc.,"=""0.06281%""","$458,502","4,134.00"
Johnson Controls International plc,"=""0.06276%""","$458,090","11,247.00"
WEC Energy Group Inc.,"=""0.06260%""","$456,947","4,857.00"
Mitsui & Co. Ltd.,"=""0.06256%""","$456,638","25,300.00"
Macquarie Group Ltd.,"=""0.06254%""","$456,526","4,834.00"
CRH plc,"=""0.06222%""","$454,177","11,986.00"
Anglo American plc,"=""0.06207%""","$453,062","18,464.00"
Tokio Marine Holdings Inc.,"=""0.06191%""","$451,902","9,800.00"
LG Chem Ltd.,"=""0.06170%""","$450,391",723.00
Verisk Analytics Inc. Class A,"=""0.06130%""","$447,448","2,397.00"
Bank of New York Mellon Corp.,"=""0.06127%""","$447,236","12,094.00"
Compass Group plc,"=""0.06122%""","$446,918","27,348.00"
Cintas Corp.,"=""0.06113%""","$446,208","1,339.00"
MetLife Inc.,"=""0.06104%""","$445,598","11,586.00"
Chugai Pharmaceutical Co. Ltd.,"=""0.06099%""","$445,188","10,000.00"
Constellation Brands Inc. Class A,"=""0.06096%""","$444,966","2,412.00"
Eversource Energy,"=""0.06092%""","$444,663","5,188.00"
Industria de Diseno Textil SA,"=""0.06088%""","$444,381","15,778.00"
Volkswagen AG Preference Shares,"=""0.06086%""","$444,272","2,666.00"
Volvo AB Class B,"=""0.06077%""","$443,562","23,144.00"
Vestas Wind Systems A/S,"=""0.06066%""","$442,764","2,906.00"
Yum! Brands Inc.,"=""0.06051%""","$441,677","4,608.00"
Astellas Pharma Inc.,"=""0.06042%""","$441,062","28,100.00"
PACCAR Inc.,"=""0.06039%""","$440,788","5,135.00"
Travelers Cos. Inc.,"=""0.06026%""","$439,908","3,791.00"
ANSYS Inc.,"=""0.06024%""","$439,696","1,297.00"
Sysco Corp.,"=""0.05995%""","$437,579","7,276.00"
Allstate Corp.,"=""0.05991%""","$437,286","4,702.00"
Zimmer Biomet Holdings Inc.,"=""0.05985%""","$436,869","3,101.00"
Mitsubishi Corp.,"=""0.05972%""","$435,947","18,400.00"
PPG Industries Inc.,"=""0.05949%""","$434,283","3,607.00"
Clorox Co.,"=""0.05922%""","$432,249","1,934.00"
Manulife Financial Corp.,"=""0.05898%""","$430,547","29,157.00"
Tesco plc,"=""0.05881%""","$429,324","146,613.00"
Nippon Telegraph & Telephone Corp.,"=""0.05857%""","$427,519","18,800.00"
HP Inc.,"=""0.05855%""","$427,422","21,863.00"
DBS Group Holdings Ltd.,"=""0.05846%""","$426,733","27,800.00"
Marriott International Inc./MD Class A,"=""0.05828%""","$425,430","4,134.00"
AutoZone Inc.,"=""0.05802%""","$423,494",354.00
Trane Technologies plc,"=""0.05793%""","$422,889","3,572.00"
Franco-Nevada Corp.,"=""0.05783%""","$422,166","2,804.00"
Alimentation Couche-Tard Inc. Class B,"=""0.05768%""","$421,077","12,888.00"
Central Japan Railway Co.,"=""0.05748%""","$419,558","2,800.00"
Fastenal Co.,"=""0.05742%""","$419,121","8,578.00"
Walgreens Boots Alliance Inc.,"=""0.05736%""","$418,676","11,012.00"
Koninklijke DSM NV,"=""0.05703%""","$416,299","2,589.00"
Kroger Co.,"=""0.05695%""","$415,743","11,652.00"
Kinder Morgan Inc.,"=""0.05683%""","$414,807","30,015.00"
Investor AB Class B,"=""0.05683%""","$414,847","6,489.00"
Otis Worldwide Corp.,"=""0.05637%""","$411,492","6,542.00"
Nokia Oyj,"=""0.05622%""","$410,379","84,258.00"
Mitsubishi Electric Corp.,"=""0.05613%""","$409,742","29,700.00"
Lloyds Banking Group plc,"=""0.05607%""","$409,265","1,078,171.00"
Willis Towers Watson plc,"=""0.05595%""","$408,388","1,987.00"
Prudential Financial Inc.,"=""0.05573%""","$406,823","6,003.00"
Transurban Group,"=""0.05569%""","$406,525","40,839.00"
Credit Suisse Group AG,"=""0.05569%""","$406,495","36,846.00"
Terumo Corp.,"=""0.05568%""","$406,431","10,000.00"
